Paper,Treatment,mean.F,sd.F,SampSize.F,mean.M,sd.M,SampSize.M,mean.C,sd.C,SampSize.C,HR.Estimator,Track.Freq,SR.Area,EcoReg.II,Year.Start,Year.End
Delay-et-al-2023,S1,6.1,5,13,9.8,8.4,15,NA,NA,NA,mcp.100,7.5,18400,8_1,2021,2021
Carter-2021,S1,3.12,1.81,20,NA,NA,NA,NA,NA,NA,mcp.100,3.2,NA,8_2,2018,2019
"Ernst,-C.-H.-1970",S1,0.53,0.53,5,NA,NA,6,NA,NA,NA,mcp.100,NA,10.1,8_3,1965,1967
Madden-et-al.-2025,S1,3.68,0.5,10,NA,NA,NA,NA,NA,NA,mcp.095,30,NA,8_2,2018,2019
Madden-et-al.-2025,S2,2.86,0.62,9,NA,NA,NA,NA,NA,NA,mcp.095,30,NA,8_2,2018,2019
Madden-et-al.-2025,S3,2.01,0.24,9,NA,NA,NA,NA,NA,NA,mcp.095,30,NA,8_1,2018,2019
Milam-and-Melvin-2001,S1,4.6,8,16,1.9,1.58,10,NA,NA,NA,mcp.100,12.9,120.1,5_3,1993,1995
OBryan-et-al.-2015,S1,NA,NA,NA,NA,NA,NA,12.6,12.95,26,tlocoh,5.3,24100,8_5,2012,2013
Oxenrider-and-Brown-2024,S1,2.53,2.34,3,3.69,3.23,3,NA,NA,NA,kde.095,4.3,13.19,8_4,2018,2019
Oxenrider-and-Brown-2024,S2,NA,NA,NA,0.83,0.29,3,NA,NA,NA,kde.095,2.1,2.09,8_4,2019,2020
Coury-2022-,T1,1.08,0.69,7,1.48,1.2,10,NA,NA,NA,mcp.095,15,53,8_1,2020,2021
Coury-2022-,T2,0.94,0.63,10,1.62,1.14,9,NA,NA,NA,mcp.095,15,53,8_1,2020,2021
Graham-1995,S1,0.56,NA,1,0.84,NA,2,NA,NA,NA,mcp.100,NA,607,8_5,1989,1990
Haxton-and-Berrill-1999,S1,4.7,1.84,3,2,1.19,3,NA,NA,NA,mcp.100,12,254,8_3,1994,1995
Yagi-and-Litzgus-2012,T1,NA,NA,NA,NA,NA,NA,3.2,0.03,7,kde.095,2.1,1460,8_1,2000,2005
Yagi-and-Litzgus-2012,T2,NA,NA,NA,NA,NA,NA,7.1,1.84,11,kde.095,4.3,1460,8_1,2008,2009
O-Dell-et-al.-2021,S1,1.99,1.52,31,2.06,1.56,5,NA,NA,NA,mcp.100,10,43,8_5,2007,2014
Rasmussen-and-Litzgus-2010,T1,NA,NA,NA,NA,NA,NA,7.9,3.1,15,mcp.100,15,98,8_1,2008,2008
Rasmussen-and-Litzgus-2010,T2,NA,NA,NA,NA,NA,NA,6.5,3.1,15,mcp.100,15,98,8_1,2009,2009
Rowe-et-al.-2013,T1,NA,NA,NA,NA,NA,NA,0.41,3.1,7,mcp.100,17.1,13.6,8_1,2006,2006
Rowe-et-al.-2013,T2,NA,NA,NA,NA,NA,NA,0.13,0.11,8,mcp.100,17.1,13.6,8_1,2007,2007
Roe-2023,S1,10.5,8.72,5,18.7,17.2,4,NA,NA,NA,mcp.100,4.2,238.3,8_3,2017,2020
Litzgus-and-Mousseau-2004,S1,19.09,6.75,22,5.15,3.39,9,NA,NA,NA,mcp.100,9.6,4500,8_5,2000,2003
Kaye-et-al.-2001,S1,0.71,NA,4,1.33,NA,4,NA,NA,NA,mcp.100,15,29.2,8_1,1998,1998
Kaye-et-al.-2001,S1,0.74,NA,6,1.5,NA,4,NA,NA,NA,mcp.100,15,29.2,8_1,1999,1999
Kaye-et-al.-2005,S1,1.05,NA,4,1.25,NA,4,NA,NA,NA,mcp.100,2.9,2.59,8_1,2004,2004
Lassiter-et-al.-2023,S1,2.77,2.66,23,5.46,13.31,31,NA,NA,NA,mcp.095,12.9,3237,8_4,2016,2019
Angoh-et-al.-2021,S1,0.72,0.48,5,3.58,3.62,7,NA,NA,NA,mcp.095,2.1,831,8_1,2018,2018
Briesch-2006-,S1,0.42,0.25,3,0.58,0.54,5,NA,NA,NA,mcp.100,8.6,36.9,8_4,2001,2001
Buchanan-et-al.-2017,S1,2.04,1.13,6,1.85,0.73,6,NA,NA,NA,mcp.100,6,NA,8_5,2013,2014
Chandler-et-al.-2019,S1,1.42,1.94,8,1.67,0.93,10,NA,NA,NA,mcp.095,8.6,NA,8_3,2016,2016
Chandler-et-al.-2019,S2,3.19,3.33,5,1.61,0.62,6,NA,NA,NA,mcp.095,8.6,NA,8_3,2016,2016
Seburn-2012,S1,1.3,NA,3,2.1,NA,2,NA,NA,NA,mcp.100,9.375,10,8_1,2010,2010
Lindberg-et-al.-2025,S1,NA,NA,NA,NA,NA,NA,1.79,1.51,10,mcp.100,6.4,91,8_2,2022,2022
Lindberg-et-al.-2025,S2,NA,NA,NA,NA,NA,NA,1.97,1.47,20,mcp.100,6.4,258,8_2,2022,2022
Bachran-et-al-2024,S1,0.257,0.285,11,0.492,0.45,9,NA,NA,NA,mcp.095,6.7,40,8_5,2022,2022
Bachran-et-al-2024,S2,0.434,0.339,11,0.365,0.532,9,NA,NA,NA,mcp.095,6.7,40,8_5,2022,2022
Thibeault-2025,S1,NA,NA,NA,NA,NA,NA,2.1,1.79,16,mcp.095,6.4,NA,5_2,2023,2024
Wilson-1994,S1,1.75,0.61,5,0.72,0.24,3,NA,NA,NA,mcp.100,30,45,8_2,1992,1993
